Species	Assembly_Accession
Epirrhoe_alternata	GCA_963565295.1
Epirrhoe_tristata	GCA_951394285.1
Epirrita_christyi	GCA_951392215.1
Erannis_defoliaria	GCA_905404285.2
Erebia_aethiops	GCA_923060345.2
Erebia_epiphron	GCA_963932025.1
Erebia_ligea	GCA_917051295.2
Erebia_palarica	GCA_964035005.1
Eremobia_ochroleuca	GCA_949629135.1
Erynnis_tages	GCA_905147235.1
Esperia_sulphurella	GCA_947086405.1
Ethmia_dodecea	GCA_963855545.1
Euclidia_mi	GCA_944739405.2
Eudemis_profundana	GCA_947034925.1
Eudonia_lacustrata	GCA_947562085.1
Eudonia_mercurella	GCA_963082485.1
Eudonia_truncicolella	GCA_949315975.1
Eueides_isabella	GCA_019049475.1
Eugnorisma_glareosa	GCA_947578425.1
Eulithis_prunata	GCA_918843925.1
Eulithis_testata	GCA_947507515.1
Eupithecia_abbreviata	GCA_943735965.1
Eupithecia_centaureata	GCA_944547425.1
Eupithecia_dodoneata	GCA_947044415.1
Eupithecia_exiguata	GCA_947086465.1
Eupithecia_insigniata	GCA_947859395.1
Eupithecia_inturbata	GCA_963662085.1
Eupithecia_pulchellata	GCA_963931895.1
Eupithecia_subfuscata	GCA_963564075.1
Eupithecia_subumbrata	GCA_949316285.1
Eupithecia_tripunctaria	GCA_955876795.1
Eupithecia_vulgata	GCA_946478455.1
Euplagia_quadripunctaria	GCA_963859945.1
Euplexia_lucipara	GCA_921972225.1
Euproctis_similis	GCA_905147225.2
Eupsilia_transversa	GCA_914767815.1
Eurois_occulta	GCA_950022335.1
Euspilapteryx_auroguttella	GCA_951802225.1
Euzophera_pinguis	GCA_947363495.1
Fabriciana_adippe	GCA_905404265.1
Falcaria_lacertinaria	GCA_951449985.1
Fissipunctia_ypsillon	GCA_947568875.1
Furcula_furcula	GCA_911728495.1
Gandaritis_pyraliata	GCA_947859175.1
Glaucopsyche_alexis	GCA_905404095.1
Globia_sparganii	GCA_949316385.1
Gortyna_flavago	GCA_963669345.1
Grapholita_molesta	GCA_022674325.2
Griposia_aprilina	GCA_916610205.1
Gymnoscelis_rufifasciata	GCA_929108375.1
Habrosyne_pyritoides	GCA_907165245.1
Hecatera_dysodea	GCA_905332915.2
Hedya_salicella	GCA_905404275.2
Heliconius_charithonia	GCA_030704555.1
Heliconius_sara	GCA_917862395.2
Helicoverpa_zea	GCF_022581195.2
Heliothis_peltigera	GCA_958496145.1
Hemaris_fuciformis	GCA_907164795.1
Hemistola_chrysoprasaria	GCA_947063395.1
Hemithea_aestivaria	GCA_947507615.1
Herminia_tarsipennalis	GCA_945859575.2
Hesperia_comma	GCA_905404135.1
Hestina_assimilis	GCA_023373885.1
Hipparchia_sbordonii	GCA_038048805.1
Hipparchia_semele	GCA_933228805.2
Hofmannophila_pseudospretella	GCA_947369225.1
Hoplodrina_ambigua	GCA_949774945.1
Hoplodrina_blanda	GCA_949316365.1
Horisme_vitalbata	GCA_951804965.1
Hydraecia_micacea	GCA_914767645.1
Hydriomena_furcata	GCA_912999785.1
Hylaea_fasciaria	GCA_905147375.1
Hyles_euphorbiae	GCA_023078785.2
Hyles_vespertilio	GCA_009982885.2
Hypena_proboscidalis	GCA_905147285.1
Hypercompe_scribonia	GCA_949316085.1
Hypomecis_atomaria	GCA_964007245.1
Hypomecis_punctinalis	GCA_949316475.1
Hyppa_rectilinea	GCA_951799385.1
Hypsopygia_costalis	GCA_937001555.2
Idaea_aversata	GCA_907269075.1
Idaea_biselata	GCA_958496205.1
Idaea_dimidiata	GCA_949358125.1
Idaea_straminata	GCA_951213275.1
Incurvaria_masculella	GCA_946894095.1
Iphiclides_podalirius	GCA_933534255.1
Lacanobia_oleracea	GCA_950371165.1
Lacanobia_wlatinum	GCA_947578705.1
Lampropteryx_suffumata	GCA_948098915.1
Laothoe_populi	GCA_905220505.1
Lapara_coniferarum	GCA_949316025.1
Lasiommata_megera	GCA_928268935.1
Laspeyria_flexula	GCA_905147015.1
Lathronympha_strigana	GCA_949128165.1
Leguminivora_glycinivorella	GCF_023078275.1
Leptidea_sinapis	GCF_905404315.1
Leptophobia_aripa	GCA_951799465.1
Leucania_comma	GCA_958295575.1
Leucoma_salicis	GCA_948253155.1
Ligdia_adustata	GCA_947049295.1
Limenitis_camilla	GCA_905147385.1
Lithophane_leautieri	GCA_949152455.1
Lithophane_ornitopus	GCA_948473465.1
Lithophane_semibrunnea	GCA_947363905.1
Lithophane_socia	GCA_947522985.1
Lithosia_quadra	GCA_963576445.1
Lobophora_halterata	GCA_932526365.1
Lomographa_bimaculata	GCA_948107665.1
Luffia_ferchaultella	GCA_949709985.1
Luperina_nickerlii	GCA_963855955.1
Luperina_testacea	GCA_927399505.1
Lycaena_phlaeas	GCA_905333005.2
Lycia_hirtaria	GCA_947563715.1
Lycophotia_porphyrea	GCA_950005105.1
Lymantria_dispar	GCA_032191425.1
Lymantria_monacha	GCA_905163515.2
Lysandra_bellargus	GCA_905333045.1
Lysandra_coridon	GCA_905220515.1
Macaria_liturata	GCA_964023185.1
Macaria_notata	GCA_927399415.1
Malacosoma_neustria	GCA_963693495.1
Mamestra_brassicae	GCA_905163435.1
Manduca_sexta	GCF_014839805.1
Maniola_hyperantus	GCA_902806685.2
Maniola_jurtina	GCF_905333055.1
Marasmarcha_lunaedactyla	GCA_923062675.1
Marasmia_exigua	GCA_019059595.1
Maruca_vitrata	GCA_039566165.1
Mechanitis_mazaeus	GCA_959347395.1
Mechanitis_messenoides	GCA_959347415.1
Mecyna_flavalis	GCA_949319885.1
Meganola_albula	GCA_936450015.1
Melanargia_galathea	GCA_920104075.1
Melanchra_persicariae	GCA_947386135.1
Melinaea_marsaeus_rileyi	GCA_918358865.1
Melinaea_menophilus_n._ssp._AW-2005	GCA_918358695.1
Melitaea_cinxia	GCF_905220565.1
Mellicta_athalia	GCA_905220545.2
Mesoligia_furuncula	GCA_916614155.1
Metalampra_italica	GCA_949699065.1
Micropterix_aruncella	GCA_944548615.1
Miltochrista_miniata	GCA_933228765.1
Mimas_tiliae	GCA_905332985.1
Monopis_laevigella	GCA_947458855.1
Musotima_nitidalis	GCA_949126915.1
Mycalesis_mineus	GCA_034621355.1
Mythimna_albipuncta	GCA_929112965.1
Mythimna_ferrago	GCA_910589285.2
Mythimna_impura	GCA_905147345.3
Mythimna_lalbum	GCA_949319445.1
Mythimna_loreyi	GCA_029852875.1
Mythimna_pallens	GCA_961205895.1
Mythimna_separata	GCA_030763345.1
Mythimna_vitellina	GCA_949316375.1
Napeogenes_inachia	GCA_959347355.1
Napeogenes_sylphis	GCA_959347405.1
Nemapogon_koenigi	GCA_963924495.1
Nematopogon_swammerdamellus	GCA_946902875.1
Noctua_comes	GCA_963082995.1
Noctua_fimbriata	GCA_905163415.1
Noctua_janthe	GCA_910589295.1
Noctua_janthina	GCA_963576755.1
Noctua_pronuba	GCA_905220335.1
Nomophila_noctuella	GCA_958496325.1
Notocelia_uddmanniana	GCA_905163555.1
Notodonta_dromedarius	GCA_905147325.1
Notodonta_ziczac	GCA_918843915.1
Nudaria_mundana	GCA_963556515.1
Nycteola_revayana	GCA_947037095.2
Nymphalis_c-album	GCA_963151315.1
Nymphalis_io	GCF_905147045.1
Nymphalis_polychloros	GCA_905220585.2
Nymphalis_urticae	GCA_905147175.2
Nymphula_nitidulata	GCA_947347705.1
Ochlodes_sylvanus	GCA_905404295.2
Ochropacha_duplaris	GCA_951361185.1
Ochropleura_leucogaster	GCA_958449745.1
Ochropleura_plecta	GCA_905475445.1
Oegoconia_quadripuncta	GCA_949316235.1
Oligia_fasciuncula	GCA_963082905.1
Oligia_latruncula	GCA_948474745.1
Oligia_strigilis	GCA_951800025.1
Omphaloscelis_lunosa	GCA_916610215.1
Operophtera_brumata	GCA_932527175.1
Opisthograptis_luteolata	GCA_931315375.2
Orgyia_antiqua	GCA_916999025.1
Orthosia_cruda	GCA_964057195.1
Orthosia_gothica	GCA_949775005.1
Orthosia_gracilis	GCA_947562075.1
Orthosia_incerta	GCA_948252205.1
Ostrinia_nubilalis	GCF_963855985.1
Pammene_aurita	GCA_947086415.1
Pammene_fasciana	GCA_911728535.1
Pandemis_cinnamomeana	GCA_932294345.1
Pandemis_corylana	GCA_949127965.1
Pandemis_heparana	GCA_963854515.1
Papilio_elwesi	GCA_029849275.1
Papilio_machaon	GCF_912999745.1
Parapoynx_stratiotata	GCA_910589355.1
Pararge_aegeria	GCF_905163445.1
Parascotia_fuliginaria	GCA_963082885.1
Pasiphila_rectangulata	GCA_963082625.1
Pectinophora_gossypiella	GCF_024362695.1
Pelosia_muscerda	GCA_963691645.1
Peribatodes_rhomboidaria	GCA_911728515.1
Perizoma_affinitatum	GCA_961405105.1
Perizoma_flavofasciatum	GCA_958496245.1
Petrophora_chlorosata	GCA_951640565.1
Phalera_bucephala	GCA_905147815.2
Phengaris_arion	GCA_963565745.1
Pheosia_gnoma	GCA_905404115.1
Pheosia_tremula	GCA_905333125.1
Philereme_transversata	GCA_963924445.1
Philereme_vetulata	GCA_918857605.2
Phlogophora_meticulosa	GCA_905147745.2
Phragmatobia_fuliginosa	GCA_932526445.1
Pieris_brassicae	GCF_905147105.1
Pieris_mannii	GCA_028984075.1
Pieris_napi	GCF_905475465.1
Pieris_rapae	GCF_905147795.1
Plagodis_dolabraria	GCA_963854805.1
Plagodis_pulveraria	GCA_963890685.1
Plebejus_argus	GCA_905404155.3
Plemyria_rubiginata	GCA_963576535.1
Plodia_interpunctella	GCF_027563975.2
Plusia_festucae	GCA_950381575.1
Plutella_xylostella	GCF_932276165.1
Polia_nebulosa	GCA_951329385.1
Polymixis_flavicincta	GCA_949987655.1
Polymixis_lichenea	GCA_949091785.1
Polyommatus_icarus	GCA_937595015.1
Polyommatus_iphigenia	GCA_963422495.1
Polyploca_ridens	GCA_951394255.1
Protodeltote_pygarga	GCA_936450705.2
Pseudoips_prasinana	GCA_951640165.1
Ptilodon_capucinus	GCA_914767695.1
Pyralis_farinalis	GCA_947507595.1
Pyrausta_aurata	GCA_963584085.1
Pyrausta_despicata	GCA_963921415.1
Pyrausta_nigrata	GCA_949316185.1
Pyrausta_purpuralis	GCA_963924145.1
Pyrgus_malvae	GCA_911387765.1
Pyrrhia_umbra	GCA_963891755.1
Rhodophaea_formosa	GCA_963082605.1
Samia_ricini	GCA_014132275.2
Saturnia_japonica	GCA_033032175.1
Saturnia_pavonia	GCA_947532125.1
Schoenobius_gigantellus	GCA_963935595.1
Schrankia_costaestrigalis	GCA_905475405.1
Scirpophaga_incertulas	GCA_036419045.1
Scoparia_ambigualis	GCA_963921215.1
Scotopteryx_bipunctaria	GCA_949320045.1
Scrobipalpa_costella	GCA_949820665.1
Selenia_dentaria	GCA_917880725.1
Sesamia_inferens	GCA_037179545.1
Sesia_apiformis	GCA_914767545.1
Sesia_bembeciformis	GCA_943735995.1
Shargacucullia_verbasci	GCA_947562105.1
Sphinx_pinastri	GCA_947568825.1
Spicauda_simplicius	GCA_949699795.1
Spilarctia_lutea	GCA_916048165.1
Spilosoma_lubricipeda	GCA_905220595.1
Spodoptera_exigua	GCA_902829305.4
Spodoptera_frugiperda	GCF_023101765.2
Spodoptera_littoralis	GCA_902850265.1
Spodoptera_litura	GCF_002706865.2
Standfussiana_lucernea	GCA_964057025.1
Stenoptilia_bipunctidactyla	GCA_944452665.1
Subacronicta_megacephala	GCA_958496365.1
Synanthedon_andrenaeformis	GCA_936446665.2
Synanthedon_formicaeformis	GCA_945859745.1
Synanthedon_myopaeformis	GCA_944738685.1
Synanthedon_tipuliformis	GCA_947623395.1
Synanthedon_vespiformis	GCA_918317495.1
Tachystola_acroxantha	GCA_963506565.1
Teleiodes_luculella	GCA_948473455.1
Tethea_ocularis	GCA_963555595.1
Tetheella_fluctuosa	GCA_951216915.1
Thalpophila_matura	GCA_948465475.1
Thera_britannica	GCA_939531255.2
Thera_obeliscata	GCA_947578465.1
Theretra_japonica	GCA_033459515.1
Tholera_decimalis	GCA_943138885.2
Thumatha_senex	GCA_948477245.1
Thyatira_batis	GCA_905147785.2
Thymelicus_acteon	GCA_951805285.1
Thymelicus_lineola	GCA_963932265.1
Thymelicus_sylvestris	GCA_911387775.1
Tiliacea_aurago	GCA_948098905.1
Tiliacea_citrago	GCA_963921375.1
Timandra_comae	GCA_958496195.1
Tinea_pellionella	GCA_948150575.1
Tinea_semifulvella	GCA_910589645.1
Tinea_trinotella	GCA_905220615.1
Tortricodes_alternella	GCA_947859335.1
Tortrix_viridana	GCA_963241965.1
Trichoplusia_ni	GCF_003590095.1
Trilocha_varians	GCA_030269945.2
