buscoID	query_chr	position	assigned_chr	status
186at7088	OY730189.1	17883175.5	M3	M3
190at7088	OY730179.1	21766677.0	M28	M28
193at7088	OY730190.1	19727139.0	M4	M4
196at7088	OY730188.1	19635717.5	M5	self
200at7088	OY730186.1	25494696.0	M13	M13
201at7088	OY730181.1	39446273.5	M12	M12
204at7088	OY730179.1	37172041.0	M2	self
206at7088	OY730184.1	31393928.5	M20	M20
207at7088	OY730180.1	35160688.0	M7	M7
208at7088	OY730179.1	39416059.0	M2	self
210at7088	OY730179.1	40247763.5	M2	self
212at7088	OY730178.1	26342660.5	MZ	self
215at7088	OY730187.1	19719394.0	M15	self
220at7088	OY730186.1	4128484.0	M6	self
231at7088	OY730185.1	22173387.5	M13	M13
232at7088	OY730189.1	17346744.5	M3	M3
235at7088	OY730189.1	30903887.5	M1	self
236at7088	OY730179.1	43936229.0	M2	self
242at7088	OY730180.1	9132237.0	M9	M9
246at7088	OY730180.1	1778830.0	M10	M10
248at7088	OY730187.1	29147232.5	M22	M22
250at7088	OY730185.1	27248810.0	M13	M13
254at7088	OY730183.1	11869300.0	M3	self
259at7088	OY730179.1	24004325.5	M28	M28
263at7088	OY730178.1	7295572.0	M24	M24
266at7088	OY730178.1	24977959.0	MZ	self
270at7088	OY730178.1	24304519.5	MZ	self
271at7088	OY730183.1	26091794.5	M4	M4
273at7088	OY730188.1	735961.5	M18	M18
274at7088	OY730186.1	13299224.0	M6	self
281at7088	OY730183.1	14543379.5	M3	self
288at7088	OY730177.1	1935088.0	M27	M27
302at7088	OY730179.1	22112478.5	M28	M28
303at7088	OY730189.1	23420550.0	M1	self
307at7088	OY730186.1	30947417.0	M18	M18
311at7088	OY730184.1	27139045.5	M21	self
315at7088	OY730182.1	19991282.0	M16	M16
316at7088	OY730180.1	25629414.0	M8	self
318at7088	OY730188.1	19250597.5	M5	self
321at7088	OY730178.1	34899170.0	MZ	self
322at7088	OY730188.1	942375.0	M18	M18
324at7088	OY730179.1	42133827.0	M2	self
325at7088	OY730183.1	26673434.5	M4	M4
326at7088	OY730189.1	31904441.5	M1	self
328at7088	OY730183.1	34681857.5	M15	M15
332at7088	OY730179.1	38877180.5	M2	self
338at7088	OY730183.1	19351758.5	M7	M7
340at7088	OY730180.1	29752997.5	M21	M21
342at7088	OY730180.1	12083998.5	M9	M9
345at7088	OY730183.1	5741980.0	M26	M26
350at7088	OY730189.1	17294836.5	M3	M3
353at7088	OY730182.1	3544301.5	M28	M28
354at7088	OY730185.1	33600163.0	M16	M16
355at7088	OY730182.1	19168579.0	M16	M16
357at7088	OY730178.1	6274951.0	M24	M24
360at7088	OY730178.1	22132619.5	MZ	self
363at7088	OY730178.1	43281357.5	M13	M13
367at7088	OY730184.1	17920496.0	M12	M12
375at7088	OY730185.1	34841694.0	M16	M16
380at7088	OY730184.1	3542288.5	M6	M6
382at7088	OY730183.1	35430004.5	M15	M15
383at7088	OY730189.1	17281193.0	M3	M3
384at7088	OY730185.1	4212248.0	M2	M2
385at7088	OY730182.1	24543690.0	M11	self
386at7088	OY730180.1	35926923.0	M4	M4
389at7088	OY730178.1	18411511.0	MZ	self
391at7088	OY730178.1	32865585.0	MZ	self
392at7088	OY730185.1	12585414.0	M17	self
393at7088	OY730187.1	27379166.0	M22	M22
396at7088	OY730182.1	39580556.5	M5	M5
401at7088	OY730188.1	19086258.5	M5	self
408at7088	OY730189.1	29779933.5	M1	self
412at7088	OY730180.1	18690853.5	M3	M3
417at7088	OY730182.1	24574787.5	M11	self
420at7088	OY730185.1	23869063.0	M13	M13
427at7088	OY730184.1	11248187.5	M29	M29
429at7088	OY730182.1	20395117.5	M16	M16
430at7088	OY730179.1	13290515.5	M18	M18
434at7088	OY730181.1	21684083.0	M17	M17
437at7088	OY730190.1	10571730.0	M19	self
443at7088	OY730188.1	16339724.0	M5	self
445at7088	OY730184.1	16378110.0	M12	M12
450at7088	OY730181.1	21901885.5	M17	M17
455at7088	OY730190.1	1330591.5	M1	M1
461at7088	OY730180.1	15680359.0	M3	M3
464at7088	OY730177.1	22466673.0	M12	M12
467at7088	OY730186.1	11946848.0	M6	self
468at7088	OY730180.1	37425775.0	M4	M4
478at7088	OY730187.1	32473670.5	M20	M20
481at7088	OY730179.1	31174100.0	M9	M9
486at7088	OY730183.1	23210440.0	M4	M4
492at7088	OY730187.1	5615431.0	M15	self
494at7088	OY730181.1	38294534.5	M12	M12
495at7088	OY730189.1	28224094.0	M1	self
496at7088	OY730177.1	1227303.0	M27	M27
498at7088	OY730183.1	30444234.0	M8	M8
499at7088	OY730189.1	16408641.5	M3	M3
505at7088	OY730183.1	17407958.0	M7	M7
506at7088	OY730178.1	25559521.0	MZ	self
509at7088	OY730185.1	33115450.0	M16	M16
511at7088	OY730181.1	10207424.5	M7	M7
513at7088	OY730179.1	20005420.5	M10	M10
515at7088	OY730182.1	33009762.0	M8	M8
516at7088	OY730180.1	25661127.0	M8	self
517at7088	OY730179.1	37045553.5	M2	self
518at7088	OY730181.1	29934854.5	M12	M12
522at7088	OY730180.1	4593978.0	M10	M10
526at7088	OY730182.1	2633159.5	M22	M22
527at7088	OY730189.1	12810990.5	M21	M21
530at7088	OY730187.1	8327603.5	M15	self
538at7088	OY730185.1	26894955.0	M13	M13
544at7088	OY730184.1	1457690.0	M6	M6
550at7088	OY730182.1	28665179.0	M11	self
552at7088	OY730177.1	22901124.0	M12	M12
553at7088	OY730184.1	37153189.0	M23	M23
556at7088	OY730189.1	15396420.0	M3	M3
558at7088	OY730189.1	3484425.0	M8	M8
559at7088	OY730178.1	23513691.0	MZ	self
562at7088	OY730187.1	22526009.0	M9	M9
563at7088	OY730188.1	17709131.0	M5	self
566at7088	OY730185.1	16139843.5	M17	self
569at7088	OY730187.1	32095705.5	M20	M20
572at7088	OY730185.1	12637346.5	M17	self
578at7088	OY730178.1	25167883.0	MZ	self
583at7088	OY730184.1	15652309.0	M12	M12
584at7088	OY730177.1	11332600.5	MZ	MZ
589at7088	OY730189.1	17261385.0	M3	M3
598at7088	OY730187.1	32815910.5	M20	M20
599at7088	OY730190.1	12693503.0	M26	M26
600at7088	OY730179.1	39523179.5	M2	self
601at7088	OY730184.1	3502518.5	M6	M6
603at7088	OY730181.1	36173590.0	M23	M23
608at7088	OY730181.1	30386085.5	M12	M12
609at7088	OY730190.1	9537307.5	M19	self
611at7088	OY730190.1	11506656.5	M19	self
613at7088	OY730190.1	5162859.5	M1	M1
614at7088	OY730188.1	29207011.5	M5	self
616at7088	OY730183.1	8267286.0	M8	M8
620at7088	OY730177.1	11199099.5	M15	M15
621at7088	OY730178.1	582702.0	M24	M24
627at7088	OY730189.1	26251260.5	M1	self
628at7088	OY730187.1	33879790.0	M20	M20
632at7088	OY730189.1	29070472.0	M1	self
633at7088	OY730186.1	18898231.0	M14	M14
637at7088	OY730186.1	34879408.0	M18	M18
638at7088	OY730180.1	35481020.5	M7	M7
639at7088	OY730178.1	21067423.5	MZ	self
642at7088	OY730179.1	17274985.5	M10	M10
643at7088	OY730189.1	29002659.5	M1	self
647at7088	OY730183.1	15384489.0	M3	self
649at7088	OY730183.1	1700521.5	M26	M26
652at7088	OY730183.1	37480849.0	M15	M15
655at7088	OY730185.1	30192941.0	M16	M16
658at7088	OY730190.1	2368864.5	M1	M1
659at7088	OY730181.1	15068702.0	M11	self
660at7088	OY730189.1	29056324.0	M1	self
662at7088	OY730184.1	15059486.5	M12	M12
664at7088	OY730184.1	26622058.0	M21	self
666at7088	OY730184.1	1021755.5	M6	M6
667at7088	OY730180.1	35677007.5	M7	M7
670at7088	OY730184.1	12722098.5	M29	M29
672at7088	OY730185.1	4052958.0	M2	M2
675at7088	OY730177.1	33814428.0	M10	M10
678at7088	OY730189.1	18234412.5	M3	M3
692at7088	OY730177.1	15911581.5	M2	self
695at7088	OY730182.1	38749128.0	M5	M5
696at7088	OY730190.1	995155.5	M1	M1
701at7088	OY730189.1	4900968.5	M8	M8
705at7088	OY730181.1	20220952.5	M11	self
708at7088	OY730178.1	32216183.0	MZ	self
713at7088	OY730177.1	28494899.0	M29	M29
714at7088	OY730183.1	29478783.5	M8	M8
716at7088	OY730178.1	10523063.0	M24	M24
717at7088	OY730183.1	15764818.0	M3	self
718at7088	OY730179.1	36155749.0	M2	self
721at7088	OY730179.1	4095739.5	M27	M27
723at7088	OY730185.1	19768430.0	M5	M5
724at7088	OY730177.1	24608478.0	M12	M12
730at7088	OY730185.1	4113288.0	M2	M2
731at7088	OY730182.1	4833007.0	M4	M4
742at7088	OY730177.1	15650581.5	M2	self
752at7088	OY730178.1	29145109.0	MZ	self
756at7088	OY730183.1	15911023.0	M3	self
757at7088	OY730182.1	30253074.5	M11	self
761at7088	OY730187.1	9978420.5	M15	self
764at7088	OY730186.1	4073083.0	M6	self
765at7088	OY730180.1	8822561.0	M9	M9
772at7088	OY730180.1	39744943.0	M4	M4
774at7088	OY730181.1	34936810.5	M23	M23
775at7088	OY730182.1	23012795.0	M20	M20
780at7088	OY730177.1	18029558.5	M2	self
781at7088	OY730178.1	23673891.0	MZ	self
787at7088	OY730185.1	19649674.5	M5	M5
790at7088	OY730178.1	28262105.0	MZ	self
791at7088	OY730187.1	27640900.0	M22	M22
793at7088	OY730181.1	21054477.0	M17	M17
794at7088	OY730181.1	32381643.0	M12	M12
795at7088	OY730187.1	33368719.5	M20	M20
796at7088	OY730184.1	28628721.0	M21	self
799at7088	OY730189.1	27934111.0	M1	self
800at7088	OY730189.1	22045050.0	M1	self
802at7088	OY730181.1	9176611.0	M7	M7
805at7088	OY730184.1	10932980.0	M29	M29
806at7088	OY730181.1	36383861.0	M23	M23
818at7088	OY730181.1	38173008.0	M12	M12
821at7088	OY730181.1	10894458.0	M7	M7
826at7088	OY730180.1	16589947.5	M3	M3
828at7088	OY730184.1	3514253.0	M6	M6
829at7088	OY730182.1	19344779.0	M16	M16
835at7088	OY730184.1	32824117.0	M17	M17
839at7088	OY730179.1	23699760.5	M28	M28
840at7088	OY730178.1	26485419.0	MZ	self
841at7088	OY730179.1	35740807.0	M4	M4
844at7088	OY730181.1	9450435.5	M7	M7
845at7088	OY730179.1	29968567.5	M9	M9
849at7088	OY730180.1	6713350.5	M10	M10
851at7088	OY730185.1	23297214.5	M13	M13
853at7088	OY730182.1	22719081.0	M20	M20
860at7088	OY730177.1	15832111.0	M2	self
861at7088	OY730181.1	35014250.5	M23	M23
865at7088	OY730187.1	3546026.0	M25	M25
866at7088	OY730190.1	13762404.5	M19	self
871at7088	OY730177.1	6127812.0	M14	M14
875at7088	OY730186.1	12582730.5	M6	self
877at7088	OY730177.1	1849312.5	M27	M27
879at7088	OY730185.1	22154.0	M22	M22
883at7088	OY730185.1	9233965.0	M6	M6
886at7088	OY730182.1	29127513.5	M11	self
890at7088	OY730179.1	31229049.0	M9	M9
893at7088	OY730189.1	19798545.0	M3	M3
895at7088	OY730183.1	35359400.0	M5	M5
897at7088	OY730189.1	13509853.0	M3	M3
899at7088	OY730188.1	26529218.0	M5	self
903at7088	OY730184.1	30069497.0	M20	M20
909at7088	OY730181.1	41413365.0	M12	M12
911at7088	OY730177.1	44537330.5	M14	M14
912at7088	OY730188.1	32114049.5	M27	M27
917at7088	OY730180.1	2917252.5	M10	M10
924at7088	OY730183.1	11130102.5	M3	self
927at7088	OY730181.1	7175295.5	M7	M7
933at7088	OY730185.1	27790946.0	M13	M13
938at7088	OY730185.1	7425120.5	M6	M6
946at7088	OY730187.1	28149522.0	M22	M22
947at7088	OY730189.1	30380514.0	M1	self
949at7088	OY730186.1	2941745.5	M13	M13
950at7088	OY730181.1	10440471.0	M7	M7
954at7088	OY730184.1	23902029.5	M21	self
961at7088	OY730185.1	11172717.0	M17	self
962at7088	OY730178.1	41786432.0	M13	M13
963at7088	OY730185.1	9710501.5	M6	M6
966at7088	OY730179.1	31942890.5	M9	M9
968at7088	OY730181.1	38738956.0	M12	M12
972at7088	OY730180.1	23968006.5	M8	self
974at7088	OY730187.1	3449755.5	M25	M25
975at7088	OY730178.1	40640000.0	MZ	self
978at7088	OY730180.1	13550685.5	M9	M9
979at7088	OY730186.1	32787515.5	M18	M18
980at7088	OY730182.1	20794185.0	M16	M16
981at7088	OY730189.1	14282416.5	M3	M3
982at7088	OY730187.1	13577862.5	M25	M25
983at7088	OY730180.1	35332502.5	M7	M7
986at7088	OY730184.1	4423167.5	M6	M6
988at7088	OY730189.1	23168280.0	M1	self
989at7088	OY730179.1	28688208.5	M9	M9
993at7088	OY730184.1	21413389.0	M21	self
994at7088	OY730188.1	14039156.0	M14	M14
998at7088	OY730185.1	6966917.0	M2	M2
999at7088	OY730181.1	29259975.0	M23	M23
1000at7088	OY730182.1	37475786.5	M25	M25
1003at7088	OY730183.1	11777433.5	M3	self
1004at7088	OY730185.1	11581865.0	M17	self
1005at7088	OY730188.1	20073090.0	M5	self
1007at7088	OY730185.1	21712988.5	M13	M13
1009at7088	OY730187.1	30617364.0	M20	M20
1010at7088	OY730180.1	19003906.5	M3	M3
1011at7088	OY730180.1	13351168.5	M9	M9
1013at7088	OY730189.1	32564261.0	M1	self
1014at7088	OY730189.1	16912674.5	M3	M3
1021at7088	OY730187.1	9230590.0	M15	self
1027at7088	OY730177.1	16024746.0	M2	self
1032at7088	OY730178.1	25984084.5	MZ	self
1033at7088	OY730180.1	39959200.5	M4	M4
1038at7088	OY730178.1	23988600.0	MZ	self
1047at7088	OY730179.1	26915289.0	M9	M9
1050at7088	OY730186.1	1806881.0	M6	self
1053at7088	OY730186.1	25541399.0	M13	M13
1056at7088	OY730190.1	4156613.5	M1	M1
1057at7088	OY730190.1	9652428.0	M19	self
1058at7088	OY730180.1	1674305.0	M10	M10
1065at7088	OY730177.1	14708150.0	M28	M28
1066at7088	OY730178.1	40230513.0	MZ	self
1068at7088	OY730181.1	31612822.0	M12	M12
1070at7088	OY730187.1	21884512.0	M9	M9
1075at7088	OY730185.1	5185364.0	M2	M2
1076at7088	OY730177.1	8365326.0	M14	M14
1079at7088	OY730177.1	16992372.5	M2	self
1080at7088	OY730180.1	28939157.5	M21	M21
1082at7088	OY730181.1	7090681.5	M7	M7
1084at7088	OY730181.1	37361531.0	M23	M23
1085at7088	OY730186.1	4687966.0	M9	M9
1086at7088	OY730182.1	39784361.0	M5	M5
1088at7088	OY730190.1	27342198.0	M7	M7
1089at7088	OY730182.1	33298362.0	M8	M8
1090at7088	OY730178.1	30575019.0	MZ	self
1094at7088	OY730177.1	8550301.5	M14	M14
1100at7088	OY730187.1	27424676.5	M22	M22
1107at7088	OY730183.1	9631746.0	M3	self
1108at7088	OY730186.1	14859734.0	M14	M14
1111at7088	OY730182.1	25989777.0	M11	self
1113at7088	OY730184.1	2787329.5	M6	M6
1114at7088	OY730181.1	18270111.5	M11	self
1117at7088	OY730178.1	41695504.5	M13	M13
1120at7088	OY730189.1	21426426.5	M1	self
1121at7088	OY730182.1	7402925.5	M22	M22
1123at7088	OY730184.1	33864991.0	M23	M23
1124at7088	OY730185.1	24274202.5	M13	M13
1130at7088	OY730177.1	30856071.0	M10	M10
1131at7088	OY730181.1	26593834.0	M17	M17
1133at7088	OY730180.1	32737622.5	M7	M7
1134at7088	OY730179.1	31872259.0	M9	M9
1135at7088	OY730186.1	5768768.0	M16	M16
1136at7088	OY730177.1	22266634.0	M2	self
1139at7088	OY730189.1	20799847.0	M1	self
1140at7088	OY730177.1	3609030.0	M14	M14
1143at7088	OY730181.1	29011536.5	M23	M23
1144at7088	OY730178.1	14766567.0	MZ	self
1145at7088	OY730179.1	8076926.0	M18	M18
1150at7088	OY730183.1	19698949.5	M7	M7
1152at7088	OY730182.1	33053747.0	M8	M8
1153at7088	OY730184.1	6664640.0	M6	M6
1154at7088	OY730180.1	28501657.0	M21	M21
1165at7088	OY730188.1	19808414.0	M5	self
1167at7088	OY730190.1	18794026.0	M4	M4
1171at7088	OY730186.1	292208.0	M6	self
1174at7088	OY730181.1	33986443.0	M23	M23
1178at7088	OY730189.1	18489955.5	M3	M3
1179at7088	OY730186.1	16936852.5	M14	M14
1180at7088	OY730180.1	29942037.5	M21	M21
1187at7088	OY730182.1	21107694.5	M16	M16
1198at7088	OY730186.1	28858738.0	M13	M13
1199at7088	OY730185.1	25999307.5	M13	M13
1200at7088	OY730187.1	10887285.5	M5	M5
1206at7088	OY730182.1	4813968.0	M4	M4
1208at7088	OY730190.1	4074214.0	M1	M1
1214at7088	OY730189.1	21109299.5	M1	self
1218at7088	OY730185.1	13034716.0	M17	self
1220at7088	OY730182.1	2348944.0	M22	M22
1222at7088	OY730185.1	34987450.0	M16	M16
1234at7088	OY730188.1	16514145.5	M5	self
1235at7088	OY730180.1	34227898.0	M7	M7
1236at7088	OY730185.1	27948072.5	M13	M13
1237at7088	OY730181.1	23879078.0	M17	M17
1242at7088	OY730182.1	33822245.5	M8	M8
1245at7088	OY730190.1	634898.0	M1	M1
1246at7088	OY730177.1	32567290.5	M10	M10
1250at7088	OY730187.1	27488302.0	M22	M22
1251at7088	OY730189.1	23884408.5	M1	self
1253at7088	OY730179.1	40624494.0	M2	self
1256at7088	OY730185.1	14661649.0	M17	self
1258at7088	OY730179.1	39966.0	M27	M27
1259at7088	OY730181.1	35334320.5	M23	M23
1273at7088	OY730190.1	1512957.5	M1	M1
1275at7088	OY730188.1	29031793.0	M5	self
1278at7088	OY730179.1	37009714.5	M2	self
1281at7088	OY730181.1	23864187.5	M13	M13
1283at7088	OY730183.1	37491407.0	M15	M15
1291at7088	OY730190.1	27230905.5	M7	M7
1295at7088	OY730181.1	12239761.5	M7	M7
1298at7088	OY730181.1	38510046.0	M12	M12
1299at7088	OY730182.1	5590086.5	M4	M4
1300at7088	OY730188.1	13892842.0	M14	M14
1304at7088	OY730190.1	719770.0	M1	M1
1306at7088	OY730188.1	27143750.0	M5	self
1307at7088	OY730186.1	12290047.5	M6	self
1313at7088	OY730186.1	3245362.0	M6	self
1314at7088	OY730184.1	5455273.0	M6	M6
1318at7088	OY730187.1	4900765.5	M25	M25
1320at7088	OY730182.1	40394712.5	M5	M5
1324at7088	OY730181.1	8334610.5	M7	M7
1325at7088	OY730180.1	27411806.5	M8	self
1326at7088	OY730187.1	31312381.0	M20	M20
1330at7088	OY730181.1	16994154.5	M11	self
1335at7088	OY730181.1	36031577.5	M23	M23
1336at7088	OY730189.1	24304969.5	M1	self
1347at7088	OY730183.1	17890978.5	M7	M7
1350at7088	OY730181.1	15668651.0	M11	self
1351at7088	OY730178.1	3103873.5	M24	M24
1353at7088	OY730179.1	40734673.5	M2	self
1355at7088	OY730178.1	33827690.0	MZ	self
1356at7088	OY730181.1	18399440.5	M11	self
1358at7088	OY730185.1	16747208.5	M19	M19
1362at7088	OY730185.1	6206683.0	M2	M2
1366at7088	OY730185.1	23379916.0	M13	M13
1368at7088	OY730181.1	9793039.0	M7	M7
1369at7088	OY730186.1	35894406.0	M18	M18
1372at7088	OY730180.1	13250495.0	M9	M9
1377at7088	OY730182.1	33276135.5	M8	M8
1382at7088	OY730181.1	14961705.0	M11	self
1388at7088	OY730187.1	20362979.0	M15	self
1390at7088	OY730184.1	12778235.0	M29	M29
1391at7088	OY730188.1	16967286.0	M5	self
1392at7088	OY730181.1	18673835.5	M11	self
1395at7088	OY730181.1	30201992.0	M12	M12
1396at7088	OY730188.1	17206719.0	M5	self
1398at7088	OY730181.1	31282942.5	M12	M12
1401at7088	OY730180.1	42586798.0	M6	M6
1403at7088	OY730185.1	6501070.5	M2	M2
1407at7088	OY730179.1	13391863.0	M18	M18
1411at7088	OY730181.1	25124147.0	M17	M17
1413at7088	OY730185.1	10220622.0	M17	self
1417at7088	OY730189.1	25833132.0	M1	self
1418at7088	OY730181.1	38783131.0	M12	M12
1421at7088	OY730179.1	41006266.0	M2	self
1422at7088	OY730189.1	26869907.5	M1	self
1431at7088	OY730186.1	21071619.0	M9	M9
1432at7088	OY730179.1	40308552.5	M2	self
1436at7088	OY730186.1	18831271.0	M14	M14
1437at7088	OY730190.1	1280985.0	M1	M1
1440at7088	OY730179.1	15825633.5	M10	M10
1441at7088	OY730181.1	8606129.5	M7	M7
1442at7088	OY730185.1	23688193.0	M13	M13
1443at7088	OY730189.1	15003387.0	M3	M3
1444at7088	OY730185.1	3362839.5	M22	M22
1446at7088	OY730181.1	20096020.0	M11	self
1449at7088	OY730189.1	3363525.0	M8	M8
1451at7088	OY730190.1	2109180.0	M1	M1
1461at7088	OY730188.1	31536814.5	M13	M13
1463at7088	OY730181.1	19930703.5	M11	self
1465at7088	OY730183.1	14800088.5	M3	self
1468at7088	OY730181.1	3476344.5	M31	M31
1469at7088	OY730179.1	13607185.5	M18	M18
1472at7088	OY730182.1	10716210.0	M22	M22
1473at7088	OY730187.1	10985832.0	M5	M5
1479at7088	OY730186.1	4945965.0	M16	M16
1488at7088	OY730187.1	12281948.0	M5	M5
1489at7088	OY730185.1	9736742.5	M6	M6
1490at7088	OY730179.1	40151057.0	M2	self
1496at7088	OY730181.1	5327350.5	M28	M28
1500at7088	OY730179.1	35146267.0	M4	M4
1501at7088	OY730189.1	30527916.5	M1	self
1503at7088	OY730180.1	14160353.5	M3	M3
1504at7088	OY730182.1	40608538.5	M5	M5
1506at7088	OY730177.1	34801444.0	M10	M10
1507at7088	OY730185.1	32052840.5	M16	M16
1508at7088	OY730180.1	2292002.5	M10	M10
1509at7088	OY730187.1	3853129.0	M25	M25
1510at7088	OY730180.1	23350818.5	M8	self
1511at7088	OY730180.1	14203419.0	M3	M3
1514at7088	OY730190.1	2888114.5	M1	M1
1515at7088	OY730189.1	25346062.5	M1	self
1519at7088	OY730179.1	10897822.5	M18	M18
1523at7088	OY730190.1	5037051.5	M1	M1
1525at7088	OY730189.1	18738436.0	M3	M3
1530at7088	OY730189.1	1637150.5	M8	M8
1531at7088	OY730188.1	19559759.5	M5	self
1537at7088	OY730189.1	21514210.0	M1	self
1543at7088	OY730179.1	36651073.5	M2	self
1545at7088	OY730184.1	11387176.0	M29	M29
1547at7088	OY730180.1	7987767.5	M9	M9
1549at7088	OY730184.1	37028215.0	M23	M23
1550at7088	OY730189.1	32603948.5	M1	self
1551at7088	OY730187.1	6666557.5	M15	self
1553at7088	OY730182.1	4273328.0	M28	M28
1557at7088	OY730181.1	15261741.5	M11	self
1558at7088	OY730183.1	18951253.5	M7	M7
1562at7088	OY730180.1	32721564.0	M7	M7
1564at7088	OY730185.1	21138510.0	M13	M13
1565at7088	OY730183.1	16690435.5	M7	M7
1567at7088	OY730177.1	5207775.0	M14	M14
1568at7088	OY730181.1	16778626.5	M11	self
1571at7088	OY730179.1	37886047.0	M2	self
1574at7088	OY730183.1	15081532.5	M3	self
1576at7088	OY730185.1	14750018.5	M17	self
1577at7088	OY730183.1	6337255.5	M26	M26
1586at7088	OY730187.1	23173059.0	M9	M9
1587at7088	OY730177.1	25806574.5	M12	M12
1591at7088	OY730186.1	19150086.0	M14	M14
1594at7088	OY730180.1	2362729.5	M10	M10
1595at7088	OY730180.1	18347545.5	M3	M3
1596at7088	OY730187.1	19762569.5	M15	self
1600at7088	OY730182.1	25568022.5	M11	self
1601at7088	OY730183.1	18091505.5	M7	M7
1605at7088	OY730183.1	10478213.5	M3	self
1606at7088	OY730185.1	3787448.5	M22	M22
1607at7088	OY730187.1	10716556.0	M5	M5
1608at7088	OY730186.1	18312789.0	M14	M14
1609at7088	OY730188.1	27007489.5	M5	self
1612at7088	OY730180.1	29280940.5	M21	M21
1613at7088	OY730183.1	34823182.0	M15	M15
1614at7088	OY730182.1	35672527.5	M8	M8
1619at7088	OY730180.1	6493166.0	M10	M10
1623at7088	OY730177.1	7931459.0	M14	M14
1625at7088	OY730190.1	5676369.5	M1	M1
1626at7088	OY730188.1	10913772.0	M30	M30
1636at7088	OY730180.1	16057023.5	M3	M3
1637at7088	OY730180.1	12186816.5	M9	M9
1644at7088	OY730187.1	33056866.5	M20	M20
1645at7088	OY730189.1	5925627.5	M21	M21
1647at7088	OY730179.1	43000551.5	M2	self
1648at7088	OY730190.1	1791749.0	M1	M1
1650at7088	OY730184.1	35142676.0	M23	M23
1660at7088	OY730183.1	38930331.0	M15	M15
1661at7088	OY730189.1	28486442.0	M1	self
