Chr	Start	End	Type_of_telomeric_sequence		
HAP1_SCAFFOLD_59	697308	697332	end		
SCAFFOLD_134	117129	118215	middle		
SCAFFOLD_188	127855	127899	middle		
SCAFFOLD_212	84355	84383	middle		
SCAFFOLD_212	100677	103423	middle		
HAP1_SCAFFOLD_400	15444	15967	middle		
HAP1_SCAFFOLD_400	16142	16246	middle		
HAP1_SCAFFOLD_400	22619	23614	middle		
SCAFFOLD_11	9867	10685	middle		
SCAFFOLD_11	16796	16834	middle		
SCAFFOLD_133	58121	58748	middle		
SCAFFOLD_133	69036	69130	end		
HAP1_SCAFFOLD_428	54032	55346	middle		
SCAFFOLD_39	18551	18821	middle		
SCAFFOLD_39	23244	23478	middle		
SCAFFOLD_195	4784	5512	middle		
SCAFFOLD_7	8646	9067	middle		
SCAFFOLD_62	6546	6580	middle		
SCAFFOLD_62	19977	23210	middle		
HAP1_SCAFFOLD_483	8000	8024	middle		
SCAFFOLD_87	28495	28572	middle		
HAP1_SCAFFOLD_496	24099	24133	middle		
HAP1_SCAFFOLD_496	30466	30536	middle		
SCAFFOLD_168	6558	8637	middle		
HAP1_SCAFFOLD_538	27811	30548	end		
HAP1_SCAFFOLD_540	1	1554	end		
HAP1_SCAFFOLD_540	10753	10837	middle		
HAP1_SCAFFOLD_542	13655	13679	middle		
HAP1_SCAFFOLD_556	3906	6239	middle		
HAP1_SCAFFOLD_556	14195	14289	middle		
HAP1_SCAFFOLD_556	20595	20689	middle		
HAP1_SCAFFOLD_583	3098	3142	middle		
HAP1_SCAFFOLD_615	4880	4959	middle		
HAP1_SCAFFOLD_646	6706	7476	middle		
HAP1_SCAFFOLD_646	10596	10675	middle		
HAP1_SCAFFOLD_675	12001	14252	middle		
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
